date,seasonal
6/11/2010,1336.56679
6/12/2010,783.1673154
6/13/2010,228.3802602
6/14/2010,303.9282695
6/15/2010,1190.785079
6/16/2010,1019.013643
6/17/2010,1003.412206
6/18/2010,926.6179614
6/19/2010,342.1230063
6/20/2010,-112.9241593
6/21/2010,661.4419483
6/22/2010,916.0348383
6/23/2010,756.6988466
6/24/2010,688.9485737
6/25/2010,607.4759463
6/26/2010,68.60688622
6/27/2010,124.2532024
6/28/2010,945.9173879
6/29/2010,1561.603583
6/30/2010,1510.426469
7/1/2010,1254.458161
7/2/2010,1526.811893
7/3/2010,699.6212052
7/4/2010,133.7480174
7/5/2010,943.3727837
7/6/2010,1364.068831
7/7/2010,1390.493612
7/8/2010,1265.404576
7/9/2010,920.6047384
7/10/2010,169.3403602
7/11/2010,-407.9790388
7/12/2010,396.2585859
7/13/2010,614.3649396
7/14/2010,481.7669511
7/15/2010,770.6549897
7/16/2010,984.0859648
7/17/2010,299.7969007
7/18/2010,-204.2714753
7/19/2010,741.3838802
7/20/2010,1123.381609
7/21/2010,1150.06845
7/22/2010,970.3349218
7/23/2010,722.3905718
7/24/2010,168.323003
7/25/2010,-262.6057497
7/26/2010,691.7553832
7/27/2010,972.9702126
7/28/2010,852.4807015
7/29/2010,630.2683733
7/30/2010,359.7388405
7/31/2010,-337.1563631
8/1/2010,-633.1876643
8/2/2010,611.7628247
8/3/2010,1001.365395
8/4/2010,681.1141484
8/5/2010,753.1318004
8/6/2010,766.3014777
8/7/2010,193.3888433
8/8/2010,-184.0604126
8/9/2010,531.3272677
8/10/2010,997.8707377
8/11/2010,565.232976
8/12/2010,591.9538148
8/13/2010,380.4969595
8/14/2010,-343.434302
8/15/2010,-916.2135064
8/16/2010,-210.7613358
8/17/2010,459.4608225
8/18/2010,373.7815858
8/19/2010,-204.122409
8/20/2010,-146.8389766
8/21/2010,-452.8478358
8/22/2010,-833.8775858
8/23/2010,-0.981551716
8/24/2010,113.6227757
8/25/2010,84.66982272
8/26/2010,326.6175647
8/27/2010,167.7131256
8/28/2010,-329.6320104
8/29/2010,-825.474376
8/30/2010,-253.3810196
8/31/2010,102.6416752
9/1/2010,-183.6770471
9/2/2010,-134.3097265
9/3/2010,-103.2332539
9/4/2010,-790.8572667
9/5/2010,-1547.095889
9/6/2010,-623.7848482
9/7/2010,205.3092332
9/8/2010,-16.35093235
9/9/2010,79.19406099
9/10/2010,-184.8904173
9/11/2010,-803.4504209
9/12/2010,-1240.125434
9/13/2010,-668.7623006
9/14/2010,22.31089866
9/15/2010,-245.148721
9/16/2010,-330.848836
9/17/2010,-284.8338656
9/18/2010,-918.6221725
9/19/2010,-1260.001152
9/20/2010,-505.7102224
9/21/2010,-146.4124298
9/22/2010,-356.7263703
9/23/2010,-417.926912
9/24/2010,-516.4367231
9/25/2010,-1136.030018
9/26/2010,-1583.427231
9/27/2010,-810.4780569
9/28/2010,-452.4319125
9/29/2010,-413.3444933
9/30/2010,-321.4012686
10/1/2010,-327.387154
10/2/2010,-1103.510336
10/3/2010,-1610.384073
10/4/2010,-1464.625035
10/5/2010,-650.9938178
10/6/2010,-364.0387733
10/7/2010,-472.900311
10/8/2010,-450.3685777
10/9/2010,-945.9600343
10/10/2010,-1420.173694
10/11/2010,-664.4574895
10/12/2010,-217.6568496
10/13/2010,-463.8929184
10/14/2010,-410.5014115
10/15/2010,-503.1105252
10/16/2010,-1029.702699
10/17/2010,-1463.537896
10/18/2010,-765.9325083
10/19/2010,-251.219787
10/20/2010,-510.1125109
10/21/2010,-382.5111098
10/22/2010,-554.641612
10/23/2010,-1121.908328
10/24/2010,-1376.875195
10/25/2010,-720.45087
10/26/2010,-336.9198556
10/27/2010,-546.2018246
10/28/2010,-562.6959326
10/29/2010,-553.924468
10/30/2010,-1016.480109
10/31/2010,-1585.197955
