日期,归一化
2020/10/16,0.678738354
2020/10/17,0.653763155
2020/10/19,0.653364288
2020/10/20,0.689773669
2020/10/21,0.683095206
2020/10/22,0.689814578
2020/10/24,0.677040613
2020/10/28,0.713051127
2020/11/2,0.69633963
2020/11/3,0.711680661
2020/11/4,0.674841732
2020/11/5,0.657946143
2020/11/6,0.659173425
2020/11/7,0.646440369
2020/11/8,0.620329934
2020/11/13,0.710422697
2020/11/17,0.7177148
2020/11/18,0.736676314
2020/11/23,0.685334997
2020/12/21,0.753520767
2021/3/1,0.701126032
2021/3/6,0.725712591
2021/3/7,0.698262373
2021/3/8,0.681837242
2021/3/9,0.68830093
2021/3/10,0.668848502
2021/3/11,0.669605326
2021/3/12,0.682481565
2021/3/20,0.725681909
2021/3/21,0.665176882
2021/3/22,0.651922231
2021/3/23,0.667007578
2021/3/24,0.666250754
2021/3/26,0.692033914
2021/3/27,0.670658744
2021/3/28,0.653364288
2021/3/29,0.667703039
2021/4/2,0.725467134
2021/4/3,0.674217863
2021/4/4,0.618437874
2021/4/5,0.610982133
2021/4/6,0.663100729
2021/4/7,0.672673533
2021/4/8,0.675342872
2021/4/9,0.675844012
2021/4/10,0.664235966
2021/4/11,0.634515275
2021/4/12,0.630997065
2021/4/13,0.676723565
2021/4/14,0.675281508
2021/4/15,0.680354276
2021/4/16,0.686030457
2021/4/17,0.656207493
2021/4/18,0.629156141
2021/4/22,0.714227272
2021/4/23,0.675956513
2021/4/24,0.662384814
2021/4/25,0.637757346
2021/4/27,0.672192847
2021/4/28,0.703478323
2021/4/29,0.693936202
2021/4/30,0.682399746
2021/5/2,0.645018767
2021/5/3,0.658232509
2021/5/4,0.708009041
2021/5/5,0.66534052
2021/5/6,0.655215439
2021/5/7,0.660891621
2021/5/8,0.648986981
2021/5/9,0.64396535
2021/5/10,0.658815468
2021/5/11,0.683565665
2021/5/12,0.671037156
2021/5/13,0.661812083
2021/5/14,0.660451845
2021/5/15,0.64550968
2021/5/16,0.62943228
2021/5/17,0.653384743
2021/5/18,0.683575892
2021/5/23,0.744111601
2021/5/26,0.792129028
2021/5/27,0.752170756
2021/5/28,0.735428577
2021/5/29,0.675915604
2021/5/30,0.635589147
2021/5/31,0.627734539
2021/6/1,0.66549393
2021/6/2,0.717817074
2021/6/14,0.834766867
2021/6/15,0.836352107
2021/6/20,0.813678063
2021/6/21,0.833580494
2021/6/22,0.724188715
2021/7/1,0.877128568
2021/7/7,0.890894587
2021/7/8,0.841302147
2021/7/9,0.811561001
2021/7/10,0.805485953
2021/7/11,0.778465283
2021/7/15,0.899178743
2021/7/20,0.869652372
2021/7/29,1
2021/7/30,0.954754186
2021/8/1,0.79954386
2021/9/1,0.784847152
2021/9/2,0.762991297
2021/9/3,0.740020659
2021/9/4,0.725129632
2021/9/7,0.731797867
2021/9/8,0.773269787
2021/9/9,0.736533132
2021/9/14,0.807398468
2021/9/15,0.783446005
2021/9/20,0.809372347
2021/9/21,0.812972376
2021/9/22,0.732135369
2021/9/23,0.674790595
2021/9/24,0.676836066
2021/9/25,0.667263262
2021/9/27,0.695848717
2021/9/28,0.765619727
2021/9/29,0.754471911
2021/10/2,0.746545711
2021/10/3,0.722828477
2021/10/4,0.719668225
2021/10/5,0.73731041
2021/10/6,0.72614214
2021/10/7,0.737228592
2021/10/8,0.733843337
2021/10/11,0.73735132
2021/10/12,0.742689999
2021/10/13,0.731347863
2021/10/14,0.75049347
2021/10/15,0.739253608
2021/10/16,0.688035018
2021/10/17,0.6331039
2021/10/18,0.629299324
2021/10/19,0.665391657
2021/10/20,0.678114485
2021/10/21,0.707415854
2021/10/22,0.692115733
2021/10/23,0.683207707
2021/10/24,0.668296225
2021/10/25,0.676733792
2021/10/26,0.707098806
2021/10/27,0.704173783
2021/10/28,0.690847541
2021/10/29,0.686163413
2021/10/30,0.662251859
2021/11/5,0.748274134
2021/11/6,0.705912433
2021/11/7,0.682328155
2021/11/8,0.652679055
2021/11/9,0.677511071
2021/11/15,0.722040971
2021/11/19,0.77008908
2021/11/23,0.79374495
2021/11/30,0.758450351
2021/12/1,0.738916105
2021/12/9,0.808196202
2021/12/13,0.748161633
2021/12/14,0.765261769
2021/12/22,0.840136228
2021/12/23,0.82895773
2022/2/14,0.877926302
2022/2/27,0.806396187
2022/3/3,0.723636438
2022/3/4,0.753735541
2022/3/12,0.842232836
2022/3/13,0.829919102
2006/6/1,0.890870667
2006/6/2,0.936629042
2006/6/3,0.861269857
2006/6/4,0.844168745
2006/6/5,0.908181353
2006/6/6,0.908168428
2006/6/7,0.895478541
2006/6/8,0.908124113
2006/6/9,0.907004227
2006/6/10,0.844883331
2006/6/11,0.886513914
2006/6/12,0.923291043
2006/6/13,0.923401831
2006/6/14,0.94275287
2006/6/15,0.941120588
2006/6/16,0.958892892
2006/6/17,0.901092743
2006/6/18,0.869340791
2006/6/19,0.911111706
2006/6/20,0.896640896
2006/6/21,0.903927079
2006/6/22,0.89956294
2006/6/23,0.913501042
2006/6/24,0.876313996
2006/6/25,0.860033643
2006/6/26,0.945078503
2006/6/27,0.930135919
2006/6/28,0.926505753
2006/6/29,0.923967775
2006/6/30,0.962439043
2006/7/1,0.879578561
2006/7/2,0.845983829
2006/7/3,0.914917287
2006/7/4,0.910672245
2006/7/5,0.915982702
2006/7/6,0.928947713
2006/7/7,0.948950557
2006/7/8,0.882348271
2006/7/9,0.882981611
2006/7/10,0.919526084
2006/7/11,0.892839008
2006/7/12,0.915120399
2006/7/13,0.927618253
2006/7/14,0.923135939
2006/7/15,0.849189306
2006/7/16,0.822372976
2006/7/17,0.888079723
2006/7/18,0.905650762
2006/7/19,0.929513657
2006/7/20,0.950459126
2006/7/21,0.932829923
2006/7/22,0.892420782
2006/7/23,0.831441929
2006/7/24,0.909248615
2006/7/25,0.900129807
2006/7/26,0.903253116
2006/7/27,0.901197069
2006/7/28,0.902882899
2006/7/29,0.836704378
2006/7/30,0.825265477
2006/7/31,0.913005264
2006/8/1,0.915222879
2006/8/2,0.923917921
2006/8/3,0.916327993
2006/8/4,0.957078732
2006/8/5,0.878204785
2006/8/6,0.837919357
2006/8/7,0.91104154
2006/8/8,0.925188294
2006/8/9,0.916248594
2006/8/10,0.927375442
2006/8/11,0.926461437
2006/8/12,0.863440386
2006/8/13,0.812118588
2006/8/14,0.881124982
2006/8/15,0.886944142
2006/8/16,0.872140044
2006/8/17,0.84596721
